Year,Age,Tm,Lg,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd
1997,21,MIN,AL,51,34,8,6.3,109,.517,.327,.271,.353,.341,.449,.429,.802,.770,108,.590,0.5,0.0,.706,.163,.122,.0
1998,22,MIN,AL,326,213,48,6.0,111,.338,.277,.273,.371,.342,.446,.434,.817,.776,111,.567,6.4,0.6,.809,.313,.169,1.8
1999,23,MIN,AL,25,22,0,0.0,116,.000,.000,.279,.200,.352,.000,.446,.200,.798,-43,.000,-4.6,-0.4,.227,.250,.000,
2000,24,MIN,AL,478,317,68,5.7,119,.324,.282,.281,.364,.355,.446,.452,.810,.807,101,.516,2.5,0.2,.781,.304,.164,1.8
2001,25,MIN,AL,347,241,47,5.2,108,.242,.234,.269,.324,.336,.475,.431,.799,.766,107,.514,2.5,0.2,.782,.376,.241,1.9
2002,26,MIN,AL,466,315,72,6.1,105,.294,.272,.264,.339,.332,.500,.425,.839,.757,120,.596,12.6,1.2,.824,.330,.228,1.9
2003,27,BOS,AL,509,330,98,7.9,111,.292,.288,.274,.369,.340,.592,.438,.961,.778,144,.698,28.8,2.7,.988,.433,.304,.0
2004,28,BOS,AL,669,427,135,8.5,115,.322,.301,.278,.380,.346,.603,.446,.983,.792,145,.711,40.1,3.7,1.026,.431,.302,.0
2005,29,BOS,AL,713,443,149,9.0,108,.303,.300,.273,.397,.336,.604,.433,1.001,.769,158,.752,53.5,5.0,1.076,.476,.304,2.0
2006,30,BOS,AL,686,415,152,9.8,115,.270,.287,.281,.413,.347,.636,.447,1.049,.794,161,.759,54.5,5.0,1.168,.565,.349,2.0
2007,31,BOS,AL,667,387,156,10.8,112,.355,.332,.278,.445,.346,.621,.435,1.066,.781,171,.800,64.0,5.9,1.195,.495,.290,5.5
2008,32,BOS,AL,491,321,79,6.6,111,.270,.264,.276,.369,.345,.507,.434,.877,.779,124,.627,15.6,1.5,.893,.413,.243,1.9
2009,33,BOS,AL,627,430,86,5.3,112,.262,.238,.273,.332,.343,.462,.438,.794,.781,102,.524,1.9,0.2,.778,.357,.224,.0
2010,34,BOS,AL,606,395,102,6.9,105,.313,.270,.267,.370,.336,.529,.418,.899,.754,137,.671,28.1,2.7,.916,.415,.259,.0
2011,35,BOS,AL,605,389,110,7.6,103,.321,.309,.264,.398,.330,.554,.418,.953,.747,154,.713,41.5,4.0,.956,.394,.246,1.9
2012,36,BOS,AL,383,231,84,9.8,102,.316,.318,.260,.415,.326,.611,.419,1.026,.745,173,.799,35.7,3.5,1.114,.463,.293,.0
2013,37,BOS,AL,600,384,111,7.8,100,.321,.309,.260,.395,.325,.564,.411,.959,.736,159,.727,44.5,4.3,.984,.409,.255,7.1
2014,38,BOS,AL,602,406,93,6.2,95,.256,.263,.258,.355,.322,.517,.398,.873,.720,141,.657,29.2,2.9,.865,.400,.255,.0
2015,39,BOS,AL,614,410,104,6.8,104,.264,.273,.264,.360,.327,.553,.426,.913,.753,140,.677,31.7,3.1,.920,.424,.280,.0
2016,40,BOS,AL,626,397,130,8.7,107,.312,.315,.264,.401,.329,.620,.435,1.021,.764,164,.756,53.0,5.1,1.069,.458,.305,3.8